| Name      | Solo      | Doubles   | Threes    | Fours     | FourVFour |
------------------------------------------------------------------------
| SARAHO... | 0         | 0         | 0         | 0         | 6         |
| daddy7c_  | 0         | 0         | 0         | 0         | 0         |
| oHandsome | 0         | 0         | 0         | 0         | 0         |
| jfjfjk... | 1         | 0         | 0         | 0         | 1         |
| audikitty | 0         | 0         | 1         | 1         | 0         |
| Millsaps  | 0         | 0         | 2         | 0         | 1         |
| Biggers   | 0         | 0         | 0         | 3         | 9         |
| Salines   | 0         | 1         | 1         | 1         | 0         |
| lmLight   | 2         | 0         | 1         | 0         | 3         |
| jtzi      | 4         | 0         | 0         | 0         | 15        |
| luseh     | 0         | 2         | 0         | 2         | 0         |
| BUNNYG... | 4         | 0         | 0         | 1         | 5         |
| Zuarey    | 0         | 2         | 1         | 2         | 5         |
| nohuhf... | 5         | 0         | 1         | 0         | 1         |
| Roqsty    | 1         | 3         | 0         | 3         | 0         |
| eSwag     | 2         | 1         | 1         | 4         | 8         |
| auew      | 8         | 0         | 0         | 0         | 0         |
| Aefnur    | 0         | 6         | 3         | 0         | 0         |
| OofAura   | 4         | 0         | 3         | 6         | 22        |
| Milomite  | 1         | 1         | 0         | 12        | 1         |
| SKAIxF... | 0         | 0         | 11        | 3         | 0         |
| Killer... | 1         | 0         | 5         | 12        | 0         |
| sentuh    | 0         | 3         | 1         | 18        | 1         |
| maazie    | 9         | 1         | 0         | 12        | 2         |
| lethal... | 0         | 13        | 4         | 6         | 6         |
| Hvpe      | 1         | 2         | 2         | 19        | 3         |
| ILUVCA... | 7         | 4         | 8         | 9         | 124       |
| B0MBIES   | 0         | 14        | 13        | 3         | 143       |
| yabqy     | 1         | 4         | 20        | 6         | 56        |
| blck      | 0         | 16        | 16        | 0         | 8         |
| vesce     | 0         | 2         | 0         | 31        | 22        |
| BUMPER... | 0         | 13        | 22        | 0         | 0         |
| Suzeren   | 1         | 4         | 25        | 5         | 14        |
| 89898     | 10        | 2         | 27        | 2         | 0         |
| NotHoww   | 5         | 1         | 13        | 23        | 1         |
| redsy     | 0         | 26        | 19        | 0         | 3         |
| Soltera   | 0         | 1         | 10        | 35        | 44        |
| adamster  | 0         | 0         | 0         | 49        | 0         |
| iElephant | 21        | 2         | 0         | 27        | 369       |
| Decip     | 4         | 42        | 24        | 0         | 94        |
| tzekang   | 0         | 6         | 14        | 65        | 46        |
| silzy     | 17        | 10        | 30        | 33        | 141       |
| chrai     | 1         | 10        | 0         | 92        | 28        |
| Narimasu  | 30        | 31        | 40        | 10        | 0         |
| Teilze... | 50        | 51        | 19        | 0         | 0         |
| obear_    | 85        | 19        | 5         | 11        | 27        |
| praxzz    | 12        | 77        | 0         | 33        | 47        |
| Kraxor    | 1         | 140       | 0         | 0         | 180       |
| dayflies  | 9         | 5         | 93        | 37        | 0         |
| awned     | 0         | 33        | 31        | 102       | 19        |
| Krppp     | 16        | 130       | 6         | 18        | 372       |
| Jakel     | 13        | 3         | 168       | 9         | 34        |
| DqddyJ... | 20        | 21        | 150       | 39        | 33        |
| yelIow    | 0         | 1         | 0         | 250       | 63        |
| Qu3n      | 2         | 113       | 72        | 71        | 4         |
| Flawex    | 9         | 21        | 17        | 250       | 49        |
| Jirz      | 12        | 5         | 55        | 265       | 0         |
| Andorite  | 0         | 50        | 144       | 274       | 114       |
